Pair,Judge,segment,Score
Pang Qing / Tong Jian-CHN,Beno?t Lavoie-CAN,Short Program,11
Pang Qing / Tong Jian-CHN,Vladyslav Petukhov-UKR,Short Program,12
Pang Qing / Tong Jian-CHN,Sissy Krick-GER,Short Program,11
Pang Qing / Tong Jian-CHN,Hideo Sugita-JPN,Short Program,10
Tiffany Scott / Philip Dulebohn-USA,Marina Sanaya-RUS,Short Program,8
Tiffany Scott / Philip Dulebohn-USA,Yang Jiasheng-CHN,Short Program,6
Tiffany Scott / Philip Dulebohn-USA,Lucy Brennan-USA,Short Program,7
Tiffany Scott / Philip Dulebohn-USA,Marie-Reine Le Gougne-FRA,Short Program,6
Tiffany Scott / Philip Dulebohn-USA,Anna Sierocka-POL,Short Program,6
Tiffany Scott / Philip Dulebohn-USA,Beno?t Lavoie-CAN,Short Program,9
Tiffany Scott / Philip Dulebohn-USA,Vladyslav Petukhov-UKR,Short Program,8
Tiffany Scott / Philip Dulebohn-USA,Sissy Krick-GER,Short Program,8
Tiffany Scott / Philip Dulebohn-USA,Hideo Sugita-JPN,Short Program,8
Mariana Kautz / Norman Jeschke-GER,Marina Sanaya-RUS,Short Program,7
Mariana Kautz / Norman Jeschke-GER,Yang Jiasheng-CHN,Short Program,8
Mariana Kautz / Norman Jeschke-GER,Lucy Brennan-USA,Short Program,9
Mariana Kautz / Norman Jeschke-GER,Marie-Reine Le Gougne-FRA,Short Program,4
Mariana Kautz / Norman Jeschke-GER,Anna Sierocka-POL,Short Program,5
Mariana Kautz / Norman Jeschke-GER,Beno?t Lavoie-CAN,Short Program,7
Mariana Kautz / Norman Jeschke-GER,Vladyslav Petukhov-UKR,Short Program,4
Mariana Kautz / Norman Jeschke-GER,Sissy Krick-GER,Short Program,7
Mariana Kautz / Norman Jeschke-GER,Hideo Sugita-JPN,Short Program,9
Jacinthe Larivi?re / Lenny Faustino-CAN,Marina Sanaya-RUS,Short Program,5
Jacinthe Larivi?re / Lenny Faustino-CAN,Yang Jiasheng-CHN,Short Program,9
Jacinthe Larivi?re / Lenny Faustino-CAN,Lucy Brennan-USA,Short Program,6
Jacinthe Larivi?re / Lenny Faustino-CAN,Marie-Reine Le Gougne-FRA,Short Program,7
Jacinthe Larivi?re / Lenny Faustino-CAN,Anna Sierocka-POL,Short Program,7
Jacinthe Larivi?re / Lenny Faustino-CAN,Beno?t Lavoie-CAN,Short Program,5
Jacinthe Larivi?re / Lenny Faustino-CAN,Vladyslav Petukhov-UKR,Short Program,9
Jacinthe Larivi?re / Lenny Faustino-CAN,Sissy Krick-GER,Short Program,5
Jacinthe Larivi?re / Lenny Faustino-CAN,Hideo Sugita-JPN,Short Program,7
Anabelle Langlois / Patrice Archetto-CAN,Marina Sanaya-RUS,Short Program,4
Anabelle Langlois / Patrice Archetto-CAN,Yang Jiasheng-CHN,Short Program,7
Anabelle Langlois / Patrice Archetto-CAN,Lucy Brennan-USA,Short Program,5
Anabelle Langlois / Patrice Archetto-CAN,Marie-Reine Le Gougne-FRA,Short Program,9
Anabelle Langlois / Patrice Archetto-CAN,Anna Sierocka-POL,Short Program,4
Anabelle Langlois / Patrice Archetto-CAN,Beno?t Lavoie-CAN,Short Program,8
Anabelle Langlois / Patrice Archetto-CAN,Vladyslav Petukhov-UKR,Short Program,6
Anabelle Langlois / Patrice Archetto-CAN,Sissy Krick-GER,Short Program,10
Anabelle Langlois / Patrice Archetto-CAN,Hideo Sugita-JPN,Short Program,6
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Marina Sanaya-RUS,Short Program,6
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Yang Jiasheng-CHN,Short Program,5
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Lucy Brennan-USA,Short Program,8
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Marie-Reine Le Gougne-FRA,Short Program,5
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Anna Sierocka-POL,Short Program,8
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Beno?t Lavoie-CAN,Short Program,6
Tetiana Chuvaieva / Dmytro Palamarchuk-UKR,Vladyslav Petukhov-UKR,Short Program,7
